,Symptom
1483,"Blurred vision, Change in vision, Ear ache and Hearing loss"
1484,"Blurred vision, Chills, Fever and Headache"
1485,"Blurred vision, Choking, Cloudy vision and Difficulty swallowing"
1486,"Blurred vision, Cloudy vision and Red (bloodshot) eyes"
1487,"Blurred vision, Cloudy vision and Sore or burning eyes"
1488,"Blurred vision, Cloudy vision and Watery eyes"
1489,"Blurred vision, Cloudy vision, Cold feet and Cold hands"
1490,"Blurred vision, Cloudy vision, Diarrhea and Difficulty staying asleep"
1491,"Blurred vision, Cloudy vision, Enlarged or swollen glands and Fear of air"
1492,"Blurred vision, Cloudy vision, Eye irritation and Gritty or scratchy eyes"
1493,"Blurred vision, Cloudy vision, Floating spots or strings in vision and Headache"
1494,"Blurred vision, Cloudy vision, Pain or discomfort and Pain when moving eyes"
1495,"Blurred vision, Cloudy vision, Red eye (single) and Sensitive to light"
1496,"Blurred vision, Cold feet, Cold hands (Hand (palm)) and Cold hands (Fingers)"
1497,"Blurred vision, Cold feet, Color change and Floating spots or strings in vision"
1498,"Blurred vision, Color change, Dizziness and Headache"
1499,"Blurred vision, Confusion, Difficulty concentrating and Difficulty finding words"
1500,"Blurred vision, Confusion, Difficulty concentrating and Disorientation"
1501,"Blurred vision, Confusion, Difficulty concentrating and Dizziness"
1502,"Blurred vision, Confusion, Fatigue and Headache"
1503,"Blurred vision, Confusion, Fever and Frequent squinting"
1504,"Blurred vision, Cough, Dizziness and Feeling faint"
1505,"Blurred vision, Cough, Grooved tongue and Hoarse voice"
1506,"Blurred vision, Cough, Headache and Hearing loss"
1507,"Blurred vision, Craving ice, Difficult to wake up and Difficulty concentrating"
1508,"Blurred vision, Craving ice, Difficulty falling asleep, Learning disability"
1509,"Blurred vision, Decreased appetite, Excessive sweating and Fatigue"
1510,"Blurred vision, Decreased night vision, Eye irritation and Itching or burning"
1511,"Blurred vision, Decreased night vision, Flashing lights in Eyes and Eye Floaters"
1512,"Blurred vision, Decreased night vision, Hoarse voice and Hot flashes"
1513,"Blurred vision, Delayed language skills, Delusions and Disorientation"
1514,"Blurred vision, Depressed mood, Dizziness and Excessive crying"
1515,"Blurred vision, Depressed mood, Dizziness and Headache"
1516,"Blurred vision, Diarrhea, Dizziness, Double vision (without one eye covered)"
1517,"Blurred vision, Diarrhea, Headache and Nausea or vomiting"
1518,"Blurred vision, Difficulty concentrate, Dizziness, Feeling detached from reality"
1519,"Blurred vision, Difficulty concentrating, Fatigue and Lightheadedness"
1520,"Blurred vision, Difficulty finding words, Forgetfulness and Frequent squinting"
1521,"Blurred vision, Difficulty swallowing, Pain and Sore throat"
1522,"Blurred vision, Dilated pupils"
1523,"Blurred vision, Disorientation, Dizziness and Eyes do not track together"
1524,"Blurred vision, Disorientation, Dizziness and Headache"
1525,"Blurred vision, Disorientation, Fainting, Hot and dry skin"
1526,"Blurred vision, Distended stomach, Drowsiness and Fear of gaining weight"
1527,"Blurred vision, Dizziness and Feeling faint"
1528,"Blurred vision, Dizziness and Hearing loss"
1529,"Blurred vision, Dizziness and Lightheadedness"
1530,"Blurred vision, Dizziness and Nausea or vomiting"
1531,"Blurred vision, Dizziness and Pain or discomfort"
1532,"Blurred vision, Dizziness and Ringing in ears"
1533,"Blurred vision, Dizziness and Spinning sensation"
1534,"Blurred vision, Dizziness, Double vision (without one eye covered) and Fatigue"
1535,"Blurred vision, Dizziness, Drinking excessive fluids and Dry mouth"
1536,"Blurred vision, Dizziness, Ear ache and Frequent squinting"
1537,"Blurred vision, Dizziness, Excessive sweating and Fatigue"
1538,"Blurred vision, Dizziness, Excessive sweating and Feeling faint"
1539,"Blurred vision, Dizziness, Eye Floaters and Lightheadedness"
1540,"Blurred vision, Dizziness, Eye irritation and Fatigue"
1541,"Blurred vision, Dizziness, Eyes do not track together and Eye Floaters"
1542,"Blurred vision, Dizziness, Eyes rolling back and Shortness of breath"
1543,"Blurred vision, Dizziness, Fatigue and Feeling faint"
1544,"Blurred vision, Dizziness, Fatigue and Headache"
1545,"Blurred vision, Dizziness, Fatigue and Joint pain"
1546,"Blurred vision, Dizziness, Fatigue and Loss of balance"
1547,"Blurred vision, Dizziness, Fatigue and Muscle weakness"
1548,"Blurred vision, Dizziness, Feeling faint and Eye Floaters"
1549,"Blurred vision, Dizziness, Feeling faint and Headache"
1550,"Blurred vision, Dizziness, Feeling faint and Hot flashes"
1551,"Blurred vision, Dizziness, Feeling faint and Nausea or vomiting"
1552,"Blurred vision, Dizziness, Fever and Floating spots or strings in vision"
1553,"Blurred vision, Dizziness, Fever and Headache"
1554,"Blurred vision, Dizziness, Headache and Irregular heartbeat"
1555,"Blurred vision, Dizziness, Headache and Lightheadedness"
1556,"Blurred vision, Dizziness, Headache and Muscle cramps or spasms (painful)"
1557,"Blurred vision, Dizziness, Headache and Nausea or vomiting"
1558,"Blurred vision, Dizziness, Headache and Nosebleed"
1559,"Blurred vision, Dizziness, Headache and Upset stomach"
1560,"Blurred vision, Dizziness, Headache, Muscle twitching"
1561,"Blurred vision, Dizziness, Joint pain (Shoulder) and Joint pain (Knee (patella))"
1562,"Blurred vision, Dizziness, Nausea or vomiting and Night sweats"
1563,"Blurred vision, Double vision (with one eye covered), Fatigue and Headache"
1564,"Blurred vision, Dry eyes, Eye irritation and Floating spots or strings in vision"
1565,"Blurred vision, Dry eyes, Eye irritation and Gritty or scratchy eyes"
1566,"Blurred vision, Dry eyes, Forgetfulness and Frequent urination"
1567,"Blurred vision, Ear ache, Floating spots or strings in vision and Hearing loss"
1568,"Blurred vision, Ear ache, Headache and Itching or burning"
1569,"Blurred vision, Eye crusting with sleep, Red (bloodshot) eyes and Sore throat"
1570,"Blurred vision, Eye Floaters, Headache and Pain"
1571,"Blurred vision, Eye Floaters, Sensitive to light and Visual halos around lights"
1572,"Blurred vision, Eye irritation, Itching or burning and Pain or discomfort"
1573,"Blurred vision, Eyelid redness and Puffy eyelids"
1574,"Blurred vision, Fatigue and Pain"
1575,"Blurred vision, Fatigue, Frequent infections and Headache (worst ever)"
1576,"Blurred vision, Fatigue, Headache and Hunger"
1577,"Blurred vision, Fatigue, Headache and Lightheadedness"
1578,"Blurred vision, Fatigue, Headache and Nausea or vomiting"
1579,"Blurred vision, Fatigue, Headache and Pain"
1580,"Blurred vision, Fatigue, Joint pain (Shoulder) and Joint pain (Wrist)"
1581,"Blurred vision, Fatigue, Joint pain and Numbness or tingling"
1582,"Blurred vision, Fatigue, Lightheadedness and Numbness or tingling"
1583,"Blurred vision, Feeling smothered, Fits of rage and Lack of motivation"
1584,"Blurred vision, Fever and Pain or discomfort"
1585,"Blurred vision, Fever, Headache (worst ever) and Lack of emotion"
1586,"Blurred vision, Flashing lights in Eyes and Sudden flash of lights"
1587,"Blurred vision, Flickering uncolored zig-zag line in vision and Eye Floaters"
1588,"Blurred vision, Floating spots or strings in vision and Headache"
1589,"Blurred vision, Grinding teeth, Headache and Impaired social skills"
1590,"Blurred vision, Headache and Nasal congestion"
1591,"Blurred vision, Headache and Nosebleed"
1592,"Blurred vision, Headache and Pain when moving eyes"
1593,"Blurred vision, Headache and Palpitations (fluttering in chest)"
1594,"Blurred vision, Headache and Ringing in ears"
1595,"Blurred vision, Headache and Sensitive to light"
1596,"Blurred vision, Headache, Joint pain and Muscle cramps or spasms (painful)"
1597,"Blurred vision, Headache, Lack of pleasure and Memory problems"
1598,"Blurred vision, Headache, Lightheadedness and Memory problems"
1599,"Blurred vision, Headache, Lightheadedness and Pain"
1600,"Blurred vision, Headache, Numbness or tingling and Pain or discomfort"
1601,"Blurred vision, Headache, Numbness or tingling and Slurred speech"
1602,"Blurred vision, Headache, Pain or discomfort and Pain when moving eyes"
1603,"Blurred vision, Itching or burning and Red (bloodshot) eyes"
1604,"Blurred vision, Joint pain and Pain"
1605,"Blurred vision, Lump or bulge and Numbness or tingling"
1606,"Blurred vision, Mucus in eyes, Eye irritation and Itching or burning"
1607,"Blurred vision, Muscle cramps or spasms (painful) and Numbness or tingling"
1608,"Blurred vision, Nausea or vomiting and Upset stomach"
1609,"Blurred vision, Numbness or tingling and Swelling"
1610,"Blurred vision, Pain or discomfort, Sensitive to light and Squinting eyes"
1611,"Blurred vision, Palpitations"
1612,"Blurred vision, Red (bloodshot) eyes"
1613,"Blurred vision, Red eye (single) and Tearing in one eye"
1614,"Blurred vision, Ringing in ears and Sensitive to noise"
1615,"Blurred vision, Small (constricted) pupils"
1616,"Blurred vision, Tearing in one eye and Watery eyes"
1617,"Blurred vision, Vision Distortion, Flashing lights in Eyes, Loss of side vision"
1618,"Blurred vision, Weight loss"
1619,"Blurred vision, Worst Headache, Stiff neck"
1620,Bo-Bq
1621,Body aches or pains and Excessive crying
1622,Body aches or pains and Hair loss
1623,Body aches or pains and Headache (worst ever)
1624,Body aches or pains and Hives
1625,Body aches or pains and Mouth sores
1626,Body aches or pains and Muscle weakness
1627,Body aches or pains and Nausea or vomiting
1628,Body aches or pains and Numbness or tingling
1629,Body aches or pains and Pale skin
1630,Body aches or pains and Post nasal drip
1631,Body aches or pains and Restless or irritability
1632,Body aches or pains and Shaking
1633,Body aches or pains and Skin bumps
1634,Body aches or pains and Skin rash
1635,Body aches or pains and Skin redness
1636,Body aches or pains and Tenderness to touch
1637,Body aches or pains and Upset stomach
1638,Body aches or pains and Weight gain
1639,"Body aches or pains, Bruising or discoloration, Easy bleeding and Easy bruising"
1640,"Body aches or pains, Bulging veins, Choking on food and Cold hands"
1641,"Body aches or pains, Bulging veins, Easy bruising and Enlarged (dilated) veins"
1642,"Body aches or pains, Change in hair texture, Chills and Dry skin"
1643,"Body aches or pains, Change in vision, Fatigue and Hearing loss"
1644,"Body aches or pains, Chills and Excessive sweating"
1645,"Body aches or pains, Chills and Frequent urination"
1646,"Body aches or pains, Chills and Itching or burning"
1647,"Body aches or pains, Chills and Pain"
1648,"Body aches or pains, Chills and Skin rash"
1649,"Body aches or pains, Chills, Coated tongue and Cough"
1650,"Body aches or pains, Chills, Cold feet and Cold hands"
1651,"Body aches or pains, Chills, Cold feet and Excessive sweating"
1652,"Body aches or pains, Chills, Cold hands and Diarrhea"
1653,"Body aches or pains, Chills, Constipation and Dizziness"
1654,"Body aches or pains, Chills, Constipation and Fever"
1655,"Body aches or pains, Chills, Cough and Fatigue"
1656,"Body aches or pains, Chills, Decreased appetite and Disorientation"
1657,"Body aches or pains, Chills, Decreased appetite and Excessive sweating"
1658,"Body aches or pains, Chills, Decreased appetite and Fatigue"
1659,"Body aches or pains, Chills, Depressed mood and Difficult to wake from sleep"
1660,"Body aches or pains, Chills, Diarrhea and Dizziness"
1661,"Body aches or pains, Chills, Diarrhea and Excessive sweating"
1662,"Body aches or pains, Chills, Diarrhea and Fatigue"
1663,"Body aches or pains, Chills, Diarrhea and Feeling faint"
1664,"Body aches or pains, Chills, Diarrhea and Fever"
1665,"Body aches or pains, Chills, Diarrhea and Headache"
1666,"Body aches or pains, Chills, Diarrhea and Nausea or vomiting"
1667,"Body aches or pains, Chills, Difficulty sleeping and Headache"
1668,"Body aches or pains, Chills, Difficulty urinating and Fever"
1669,"Body aches or pains, Chills, Dizziness and Fatigue"
1670,"Body aches or pains, Chills, Dizziness and Fever"
1671,"Body aches or pains, Chills, Dizziness and Headache"
1672,"Body aches or pains, Chills, Dizziness and Heartburn"
1673,"Body aches or pains, Chills, Dizziness and Heavy menstrual bleeding"
1674,"Body aches or pains, Chills, Dizziness and Lightheadedness"
1675,"Body aches or pains, Chills, Dry mouth and Enlarged or swollen glands"
1676,"Body aches or pains, Chills, Dry mouth and Fatigue"
1677,"Body aches or pains, Chills, Ear ache and Enlarged or swollen glands"
1678,"Body aches or pains, Chills, Ear ache and Excessive sweating"
1679,"Body aches or pains, Chills, Ear ache and Fever"
1680,"Body aches or pains, Chills, Early morning waking and Excessive sweating"
1681,"Body aches or pains, Chills, Enlarged glands and Fatigue"
1682,"Body aches or pains, Chills, Enlarged glands and Fever"
1683,"Body aches or pains, Chills, Enlarged or swollen glands and Sore throat"
1684,"Body aches or pains, Chills, Excessive sweating and Fatigue"
1685,"Body aches or pains, Chills, Excessive sweating and Fever"
1686,"Body aches or pains, Chills, Fatigue and Fever"
1687,"Body aches or pains, Chills, Fatigue and Headache"
1688,"Body aches or pains, Chills, Fatigue and Hot flashes"
1689,"Body aches or pains, Chills, Fatigue and Joint aches"
1690,"Body aches or pains, Chills, Fatigue and Muscle weakness"
1691,"Body aches or pains, Chills, Fatigue and Nausea or vomiting"
1692,"Body aches or pains, Chills, Fatigue and Night sweats"
1693,"Body aches or pains, Chills, Fatigue and Sensitivity to cold"
1694,"Body aches or pains, Chills, Fever and Frequent bowel movements"
1695,"Body aches or pains, Chills, Fever and Frequent infections"
1696,"Body aches or pains, Chills, Fever and Frequent urination"
1697,"Body aches or pains, Chills, Fever and Heavy menstrual bleeding"
1698,"Body aches or pains, Chills, Fever and Hot flashes"
1699,"Body aches or pains, Chills, Fever and Increased sensitivity to cold"
1700,"Body aches or pains, Chills, Fever and Itching or burning"
1701,"Body aches or pains, Chills, Fever and Joint aches"
1702,"Body aches or pains, Chills, Fever and Nausea or vomiting"
1703,"Body aches or pains, Chills, Fever and Night sweats"
1704,"Body aches or pains, Chills, Fever and Numbness or tingling"
1705,"Body aches or pains, Chills, Fever and Shaking"
1706,"Body aches or pains, Chills, Fever and Shaking chills (rigors)"
1707,"Body aches or pains, Chills, Fever, Hot and dry skin"
